# N=10 REP=500 dy=0.01
# GRG
# esConnex p
0 0
0.1 0
0.2 0
0.25 0.006
0.275 0.008
0.278125 0.016
0.28125 0.02
0.2875 0.024
0.29375 0.028
0.296875 0.028
0.297656 0.054
0.298438 0.046
0.3 0.044
0.300781 0.03
0.301562 0.058
0.302344 0.038
0.303125 0.032
0.303906 0.048
0.304688 0.058
0.30625 0.056
0.3125 0.06
0.314063 0.06
0.314844 0.076
0.315625 0.074
0.31875 0.08
0.321875 0.084
0.323437 0.08
0.324219 0.102
0.325 0.112
0.33125 0.118
0.334375 0.114
0.335156 0.116
0.335938 0.142
0.336719 0.112
0.3375 0.1
0.339062 0.106
0.339844 0.142
0.340625 0.152
0.341406 0.146
0.342187 0.134
0.342969 0.152
0.34375 0.174
0.344531 0.152
0.345313 0.154
0.346875 0.162
0.35 0.16
0.350781 0.176
0.351562 0.19
0.353125 0.186
0.35625 0.194
0.357812 0.188
0.358594 0.194
0.359375 0.224
0.3625 0.232
0.365625 0.238
0.366406 0.22
0.367188 0.212
0.367969 0.242
0.36875 0.262
0.370313 0.254
0.371094 0.258
0.371875 0.28
0.375 0.284
0.38125 0.29
0.382031 0.31
0.382812 0.352
0.383594 0.328
0.384375 0.302
0.385156 0.284
0.385938 0.368
0.386719 0.308
0.3875 0.35
0.39375 0.35
0.396875 0.358
0.397656 0.418
0.398438 0.348
0.399219 0.378
0.4 0.398
0.403125 0.4
0.403906 0.406
0.404687 0.428
0.405469 0.394
0.40625 0.412
0.407813 0.418
0.408594 0.424
0.409375 0.452
0.410156 0.432
0.410938 0.422
0.411719 0.41
0.4125 0.474
0.413281 0.452
0.414062 0.522
0.414844 0.48
0.415625 0.496
0.416406 0.456
0.417188 0.482
0.417969 0.484
0.41875 0.436
0.419531 0.514
0.420313 0.482
0.421094 0.486
0.421875 0.492
0.423438 0.49
0.424219 0.536
0.425 0.516
0.425781 0.514
0.426563 0.474
0.427344 0.54
0.428125 0.534
0.43125 0.536
0.432813 0.534
0.433594 0.574
0.434375 0.522
0.435937 0.524
0.436719 0.608
0.4375 0.576
0.44375 0.574
0.444531 0.584
0.445312 0.61
0.446875 0.608
0.447656 0.618
0.448438 0.59
0.449219 0.604
0.45 0.652
0.450781 0.596
0.451562 0.626
0.452344 0.632
0.453125 0.674
0.453906 0.68
0.454688 0.686
0.455469 0.67
0.45625 0.664
0.4625 0.668
0.463281 0.688
0.464063 0.692
0.464844 0.682
0.465625 0.654
0.466406 0.676
0.467187 0.682
0.467969 0.67
0.46875 0.714
0.475 0.71
0.475781 0.76
0.476562 0.724
0.477344 0.728
0.478125 0.752
0.478906 0.72
0.479687 0.722
0.48125 0.726
0.482031 0.772
0.482812 0.76
0.483594 0.748
0.484375 0.772
0.485156 0.772
0.485938 0.786
0.486719 0.768
0.4875 0.758
0.488281 0.778
0.489062 0.796
0.489844 0.79
0.490625 0.814
0.491406 0.758
0.492188 0.79
0.49375 0.796
0.5 0.796
0.503125 0.804
0.503906 0.848
0.504687 0.816
0.50625 0.818
0.5125 0.812
0.513281 0.834
0.514062 0.85
0.515625 0.848
0.517188 0.842
0.517969 0.842
0.51875 0.858
0.519531 0.838
0.520313 0.84
0.521094 0.858
0.521875 0.87
0.525 0.874
0.528125 0.868
0.53125 0.862
0.532813 0.866
0.534375 0.874
0.535156 0.9
0.535938 0.884
0.5375 0.886
0.540625 0.878
0.541406 0.908
0.542188 0.912
0.542969 0.902
0.54375 0.896
0.544531 0.912
0.545313 0.878
0.546094 0.886
0.546875 0.916
0.547656 0.91
0.548438 0.884
0.549219 0.902
0.55 0.936
0.575 0.934
0.5875 0.934
0.588281 0.946
0.589062 0.95
0.590625 0.95
0.591406 0.948
0.592187 0.966
0.59375 0.964
0.6 0.968
0.600781 0.964
0.601562 0.958
0.603125 0.952
0.60625 0.958
0.609375 0.954
0.610156 0.962
0.610938 0.978
0.6125 0.98
0.625 0.978
0.65 0.986
0.6625 0.99
0.675 0.998
0.7 0.998
0.8 1
0.9 1
1 1
