# N=60 REP=500 dy=0.1
# p-connected p
0 60
0.00078125 58.666
0.0015625 57.25
0.00234375 55.762
0.003125 54.452
0.00390625 53
0.0046875 51.466
0.00546875 50.744
0.00625 49.132
0.00703125 47.496
0.0078125 46.368
0.00859375 45.23
0.009375 43.458
0.0101563 42.292
0.0109375 40.694
0.0117188 39.12
0.0125 37.872
0.0132813 36.858
0.0140625 35.522
0.0148437 33.98
0.015625 32.772
0.0164063 31.288
0.0171875 30.076
0.0179688 28.222
0.01875 27.476
0.0195313 26.572
0.0203125 25.356
0.0210938 24.116
0.021875 23.198
0.0226563 21.926
0.0234375 21.06
0.0242188 19.658
0.025 18.648
0.0257813 17.664
0.0265625 17.084
0.0273438 16.44
0.028125 15.426
0.0289063 14.832
0.0296875 13.914
0.0304687 13.314
0.03125 12.676
0.0320312 11.696
0.0328125 11.582
0.0335938 10.61
0.034375 10.154
0.0351562 9.726
0.0359375 9.358
0.0367188 8.798
0.0375 8.396
0.0382813 8.052
0.0390625 7.752
0.0398438 7.3
0.040625 7.214
0.0414063 6.648
0.0421875 6.274
0.0429688 6.114
0.04375 5.908
0.0445313 5.606
0.0453125 5.376
0.0460938 5.26
0.046875 4.986
0.0476562 4.604
0.0484375 4.484
0.0492188 4.328
0.05 4.23
0.0507812 4.032
0.0515625 4.006
0.0523438 3.902
0.053125 3.652
0.0539063 3.512
0.0546875 3.414
0.0554687 3.216
0.05625 3.088
0.0570313 3.068
0.0578125 2.848
0.0585938 2.868
0.059375 2.724
0.0601562 2.662
0.0609375 2.542
0.0625 2.446
0.0632812 2.27
0.0640625 2.296
0.065625 2.232
0.0664062 2.054
0.0671875 2.044
0.0679688 1.924
0.06875 1.934
0.0695313 1.952
0.0703125 1.8
0.071875 1.756
0.075 1.698
0.0757813 1.61
0.0765625 1.57
0.078125 1.54
0.08125 1.45
0.0828125 1.404
0.084375 1.322
0.0875 1.254
0.09375 1.21
0.096875 1.132
0.1 1.106
0.1125 1.044
0.125 1.006
0.15 1.004
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
