# N=25 REP=500 dy=0.01
# GRG
# esConnex p
0 0
0.1 0
0.2 0.004
0.2125 0.004
0.21875 0.008
0.221875 0.018
0.225 0.024
0.228125 0.028
0.23125 0.034
0.234375 0.036
0.235937 0.044
0.236719 0.046
0.2375 0.054
0.238281 0.058
0.239062 0.064
0.240625 0.066
0.241406 0.07
0.242188 0.078
0.242969 0.088
0.24375 0.09
0.244531 0.08
0.245312 0.07
0.246094 0.084
0.246875 0.13
0.25 0.124
0.253125 0.12
0.253906 0.15
0.254687 0.152
0.25625 0.146
0.257031 0.184
0.257812 0.178
0.259375 0.18
0.260156 0.224
0.260938 0.204
0.2625 0.212
0.26875 0.216
0.269531 0.248
0.270313 0.276
0.271094 0.28
0.271875 0.256
0.272656 0.28
0.273438 0.288
0.274219 0.286
0.275 0.304
0.275781 0.328
0.276563 0.292
0.277344 0.294
0.278125 0.344
0.278906 0.35
0.279687 0.356
0.28125 0.36
0.282813 0.356
0.283594 0.386
0.284375 0.414
0.285937 0.416
0.286719 0.432
0.2875 0.442
0.29375 0.436
0.294531 0.482
0.295312 0.498
0.296094 0.472
0.296875 0.478
0.297656 0.496
0.298438 0.5
0.299219 0.51
0.3 0.536
0.301562 0.53
0.302344 0.588
0.303125 0.562
0.303906 0.536
0.304688 0.624
0.30625 0.624
0.307813 0.616
0.308594 0.616
0.309375 0.644
0.310937 0.642
0.311719 0.64
0.3125 0.664
0.314063 0.664
0.314844 0.678
0.315625 0.654
0.317187 0.652
0.317969 0.65
0.31875 0.716
0.319531 0.698
0.320312 0.694
0.321094 0.704
0.321875 0.73
0.322656 0.704
0.323437 0.666
0.324219 0.694
0.325 0.688
0.325781 0.702
0.326562 0.742
0.327344 0.746
0.328125 0.76
0.329687 0.766
0.330469 0.792
0.33125 0.734
0.332031 0.746
0.332812 0.758
0.333594 0.766
0.334375 0.746
0.335156 0.776
0.335938 0.794
0.336719 0.79
0.3375 0.812
0.34375 0.818
0.345313 0.826
0.346875 0.832
0.347656 0.848
0.348437 0.87
0.349219 0.798
0.35 0.852
0.35625 0.856
0.357031 0.87
0.357812 0.878
0.359375 0.882
0.3625 0.884
0.364062 0.884
0.364844 0.906
0.365625 0.904
0.36875 0.912
0.375 0.906
0.378125 0.914
0.378906 0.918
0.379687 0.93
0.38125 0.93
0.3875 0.928
0.390625 0.926
0.391406 0.94
0.392188 0.96
0.392969 0.936
0.39375 0.94
0.395313 0.938
0.396094 0.942
0.396875 0.95
0.398438 0.952
0.399219 0.95
0.4 0.964
0.4125 0.964
0.415625 0.97
0.41875 0.976
0.421875 0.972
0.423438 0.976
0.424219 0.976
0.425 0.988
0.45 0.99
0.5 0.998
0.6 1
0.7 1
0.8 1
0.9 1
1 1
