# N=60 REP=500 dy=0.01
# GRG
# esConnex p
0 0
0.1 0
0.15 0.002
0.1625 0.012
0.163281 0.014
0.164063 0.026
0.164844 0.026
0.165625 0.038
0.167188 0.036
0.167969 0.042
0.16875 0.048
0.171875 0.05
0.172656 0.088
0.173438 0.09
0.174219 0.066
0.175 0.1
0.175781 0.116
0.176563 0.114
0.177344 0.144
0.178125 0.138
0.179688 0.144
0.180469 0.196
0.18125 0.208
0.184375 0.216
0.185938 0.224
0.186719 0.272
0.1875 0.258
0.188281 0.274
0.189062 0.296
0.189844 0.29
0.190625 0.314
0.191406 0.33
0.192188 0.366
0.192969 0.376
0.19375 0.404
0.194531 0.388
0.195312 0.42
0.196094 0.422
0.196875 0.432
0.198438 0.432
0.199219 0.458
0.2 0.478
0.200781 0.49
0.201563 0.562
0.203125 0.564
0.20625 0.56
0.207031 0.602
0.207813 0.586
0.208594 0.606
0.209375 0.604
0.210938 0.612
0.211719 0.632
0.2125 0.668
0.213281 0.652
0.214063 0.686
0.215625 0.696
0.217188 0.704
0.217969 0.708
0.21875 0.726
0.219531 0.738
0.220312 0.756
0.221094 0.746
0.221875 0.766
0.223438 0.764
0.224219 0.798
0.225 0.786
0.226562 0.792
0.227344 0.794
0.228125 0.814
0.228906 0.81
0.229688 0.792
0.230469 0.81
0.23125 0.864
0.232031 0.828
0.232813 0.85
0.233594 0.836
0.234375 0.826
0.235156 0.828
0.235937 0.866
0.236719 0.828
0.2375 0.876
0.238281 0.868
0.239062 0.86
0.239844 0.888
0.240625 0.838
0.241406 0.89
0.242188 0.872
0.242969 0.908
0.24375 0.9
0.246875 0.894
0.247656 0.918
0.248438 0.904
0.249219 0.924
0.25 0.914
0.250781 0.924
0.251563 0.926
0.253125 0.932
0.25625 0.934
0.259375 0.938
0.260156 0.962
0.260938 0.954
0.2625 0.952
0.26875 0.954
0.269531 0.954
0.270313 0.978
0.271875 0.972
0.275 0.972
0.278125 0.974
0.279687 0.978
0.280469 0.986
0.28125 0.988
0.2875 0.986
0.3 0.99
0.325 0.994
0.35 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
