# N=50 REP=1000 dy=0.025
# p-connected p
0 0
0.05 0.012
0.053125 0.028
0.05625 0.042
0.0578125 0.053
0.0585938 0.069
0.0589844 0.067
0.0591797 0.072
0.0592773 0.083
0.059375 0.098
0.0625 0.11
0.0632812 0.128
0.0640625 0.136
0.0648438 0.124
0.0650391 0.147
0.0652344 0.167
0.065625 0.163
0.0664062 0.187
0.0671875 0.192
0.06875 0.213
0.0703125 0.225
0.0705078 0.222
0.0706055 0.256
0.0707031 0.265
0.0710938 0.27
0.071875 0.273
0.0734375 0.291
0.0738281 0.29
0.0740234 0.312
0.0741211 0.3
0.0742188 0.34
0.075 0.349
0.078125 0.364
0.0789063 0.378
0.0790039 0.375
0.0791016 0.41
0.0792969 0.422
0.0796875 0.435
0.08125 0.439
0.0816406 0.445
0.0820313 0.47
0.0828125 0.474
0.0832031 0.479
0.0833984 0.492
0.0835938 0.51
0.0839844 0.52
0.0841797 0.53
0.084375 0.545
0.0851563 0.537
0.0859375 0.518
0.0860352 0.552
0.0861328 0.547
0.0863281 0.55
0.0867188 0.549
0.0871094 0.568
0.0875 0.577
0.0890625 0.591
0.0898438 0.614
0.090625 0.622
0.0921875 0.639
0.09375 0.661
0.0953125 0.685
0.096875 0.692
0.0972656 0.711
0.0976562 0.722
0.0984375 0.738
0.0992188 0.755
0.1 0.765
0.101562 0.761
0.102344 0.766
0.103125 0.79
0.104688 0.777
0.105078 0.793
0.105469 0.807
0.105664 0.797
0.105762 0.807
0.105859 0.843
0.10625 0.848
0.1125 0.854
0.113281 0.864
0.113672 0.878
0.114063 0.89
0.115625 0.89
0.11875 0.902
0.121875 0.913
0.125 0.938
0.1375 0.96
0.15 0.983
0.2 0.999
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
