# N=25 REP=1000 dy=0.025
# p-connected p
0 0
0.05 0
0.075 0.015
0.0875 0.04
0.090625 0.047
0.0921875 0.07
0.09375 0.089
0.1 0.112
0.101562 0.12
0.103125 0.144
0.10625 0.161
0.107813 0.172
0.108594 0.193
0.109375 0.214
0.1125 0.231
0.114063 0.236
0.114844 0.26
0.115625 0.267
0.117188 0.274
0.11875 0.295
0.121875 0.289
0.122266 0.301
0.122363 0.312
0.122461 0.347
0.122656 0.336
0.123438 0.329
0.125 0.334
0.126562 0.355
0.12666 0.375
0.126758 0.401
0.126953 0.393
0.127344 0.392
0.128125 0.39
0.129688 0.386
0.130469 0.377
0.130859 0.396
0.13125 0.416
0.132031 0.393
0.132227 0.406
0.132324 0.416
0.132422 0.447
0.132812 0.448
0.134375 0.442
0.1375 0.463
0.138281 0.484
0.139063 0.492
0.139844 0.51
0.140625 0.531
0.14375 0.539
0.145313 0.558
0.146094 0.561
0.146484 0.55
0.146582 0.544
0.14668 0.58
0.146875 0.595
0.15 0.574
0.150781 0.59
0.151563 0.606
0.153125 0.629
0.154688 0.647
0.15625 0.669
0.1625 0.686
0.165625 0.686
0.165723 0.728
0.16582 0.735
0.166016 0.734
0.166406 0.731
0.167188 0.742
0.167969 0.756
0.16875 0.769
0.175 0.782
0.18125 0.786
0.181348 0.805
0.181445 0.832
0.181641 0.815
0.182031 0.826
0.182813 0.815
0.184375 0.822
0.1875 0.827
0.187598 0.836
0.187695 0.852
0.187891 0.862
0.188281 0.855
0.189062 0.86
0.190625 0.862
0.19375 0.884
0.2 0.88
0.20625 0.898
0.2125 0.922
0.225 0.932
0.23125 0.947
0.2375 0.965
0.25 0.975
0.3 0.998
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
