# N=100 REP=500 dy=0.1
# p-connected p
0 100
0.00078125 96.178
0.0015625 92.318
0.00234375 88.442
0.003125 84.35
0.00390625 80.536
0.0046875 76.742
0.00546875 72.936
0.00625 69.368
0.00703125 65.488
0.0078125 60.718
0.00859375 58.234
0.009375 53.644
0.0101563 50.454
0.0109375 46.828
0.0117188 42.788
0.0125 39.702
0.0132813 36.548
0.0140625 34.09
0.0148437 31.022
0.015625 28.224
0.0164063 26.2
0.0171875 23.674
0.0179688 21.716
0.01875 19.844
0.0195313 18.282
0.0203125 16.672
0.0210938 15.566
0.021875 14.192
0.0226563 12.93
0.0234375 12.158
0.0242188 11.268
0.025 10.594
0.0257813 9.728
0.0265625 8.834
0.0273438 8.122
0.028125 7.482
0.0289063 6.992
0.0296875 6.696
0.0304687 5.992
0.03125 5.658
0.0320312 5.346
0.0328125 4.844
0.0335938 4.57
0.034375 4.438
0.0351562 4.026
0.0359375 3.856
0.0367188 3.656
0.0375 3.282
0.0382813 3.232
0.0390625 3.046
0.0398438 2.86
0.040625 2.772
0.0414063 2.546
0.0421875 2.474
0.0429688 2.356
0.04375 2.254
0.0445313 2.144
0.0453125 1.994
0.0460938 2.032
0.046875 1.846
0.0476562 1.846
0.0484375 1.734
0.0492188 1.722
0.05 1.574
0.0515625 1.564
0.053125 1.466
0.0539063 1.4
0.0546875 1.342
0.05625 1.34
0.0578125 1.322
0.059375 1.224
0.0625 1.178
0.06875 1.084
0.075 1.026
0.1 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
