# N=10 REP=500 dy=0.1
# p-connected p
0 10
0.0015625 9.94
0.003125 9.85
0.0046875 9.814
0.00546875 9.77
0.00625 9.698
0.009375 9.642
0.0101563 9.516
0.0109375 9.524
0.0117188 9.492
0.0125 9.41
0.0140625 9.338
0.015625 9.254
0.0171875 9.246
0.0179688 9.182
0.01875 9.114
0.021875 9.05
0.0234375 9.028
0.0242188 8.842
0.025 8.91
0.0257813 8.934
0.0265625 8.796
0.0273438 8.698
0.028125 8.688
0.0296875 8.646
0.0304687 8.558
0.03125 8.54
0.0328125 8.554
0.0335938 8.544
0.034375 8.412
0.0375 8.32
0.0390625 8.318
0.0398438 8.252
0.040625 8.186
0.04375 8.17
0.0445313 7.96
0.0453125 7.99
0.0460938 8.014
0.046875 7.798
0.05 7.73
0.053125 7.66
0.0539063 7.454
0.0546875 7.522
0.05625 7.53
0.0570313 7.502
0.0578125 7.394
0.059375 7.33
0.0601562 7.288
0.0609375 7.166
0.0625 7.212
0.0640625 7.276
0.0648438 7.044
0.065625 6.99
0.0671875 7.018
0.0679688 6.896
0.06875 6.844
0.071875 6.814
0.0734375 6.868
0.0742188 6.694
0.075 6.612
0.078125 6.598
0.0789063 6.514
0.0796875 6.446
0.08125 6.45
0.084375 6.478
0.0851563 6.244
0.0859375 6.324
0.0875 6.254
0.0882813 6.194
0.0890625 6.07
0.090625 6.072
0.09375 5.976
0.0953125 5.882
0.096875 5.796
0.1 5.708
0.103125 5.654
0.10625 5.56
0.107031 5.404
0.107813 5.32
0.109375 5.242
0.1125 5.322
0.113281 5.092
0.114063 5.078
0.115625 5
0.11875 4.968
0.125 4.884
0.125781 4.77
0.126562 4.676
0.128125 4.59
0.13125 4.618
0.132812 4.538
0.133594 4.246
0.134375 4.43
0.1375 4.378
0.140625 4.304
0.141406 4.216
0.142188 4.094
0.14375 4.052
0.15 4.008
0.151563 3.992
0.152344 3.932
0.153125 3.888
0.15625 3.908
0.157031 3.712
0.157813 3.626
0.158594 3.748
0.159375 3.512
0.1625 3.578
0.165625 3.488
0.167188 3.508
0.167969 3.33
0.16875 3.372
0.175 3.384
0.176563 3.33
0.177344 3.136
0.178125 3.096
0.179688 3.158
0.18125 3.222
0.182813 3.136
0.183594 2.952
0.184375 3.018
0.1875 3.046
0.189062 2.998
0.190625 2.908
0.19375 2.916
0.195312 2.836
0.196875 2.746
0.2 2.662
0.20625 2.634
0.209375 2.56
0.210938 2.476
0.211719 2.482
0.2125 2.356
0.225 2.27
0.23125 2.18
0.234375 2.122
0.235937 2.084
0.236719 2.112
0.2375 1.962
0.25 1.898
0.2625 1.834
0.26875 1.742
0.275 1.678
0.28125 1.706
0.282031 1.618
0.282813 1.588
0.284375 1.536
0.2875 1.556
0.3 1.474
0.3125 1.406
0.31875 1.334
0.325 1.292
0.35 1.224
0.375 1.174
0.4 1.096
0.5 1.028
0.6 1.002
0.7 1.002
0.8 1
0.9 1
