# N=10 REP=500 dy=0.01
# BRG
# esConnex p
0 0
0.1 0.006
0.125 0.014
0.13125 0.02
0.132812 0.03
0.134375 0.032
0.1375 0.036
0.140625 0.042
0.14375 0.052
0.15 0.052
0.151563 0.058
0.153125 0.062
0.154688 0.054
0.155469 0.068
0.15625 0.084
0.157813 0.076
0.158594 0.078
0.159375 0.104
0.1625 0.104
0.165625 0.096
0.167188 0.104
0.167969 0.136
0.16875 0.136
0.175 0.132
0.18125 0.134
0.182813 0.136
0.183594 0.15
0.184375 0.158
0.185938 0.166
0.1875 0.168
0.19375 0.172
0.196875 0.17
0.197656 0.19
0.198438 0.192
0.199219 0.214
0.2 0.22
0.200781 0.226
0.201563 0.23
0.202344 0.226
0.203125 0.248
0.20625 0.252
0.207813 0.254
0.208594 0.22
0.209375 0.286
0.210156 0.244
0.210938 0.298
0.211719 0.274
0.2125 0.27
0.21875 0.27
0.219531 0.296
0.220312 0.328
0.221094 0.306
0.221875 0.302
0.222656 0.304
0.223438 0.292
0.224219 0.324
0.225 0.33
0.23125 0.336
0.232031 0.394
0.232813 0.362
0.234375 0.366
0.2375 0.372
0.240625 0.378
0.242188 0.372
0.242969 0.426
0.24375 0.396
0.244531 0.366
0.245312 0.406
0.246875 0.412
0.25 0.418
0.250781 0.454
0.251563 0.384
0.252344 0.426
0.253125 0.452
0.253906 0.464
0.254687 0.482
0.255469 0.466
0.25625 0.468
0.259375 0.47
0.260156 0.466
0.260938 0.456
0.261719 0.486
0.2625 0.514
0.265625 0.514
0.266406 0.504
0.267188 0.54
0.267969 0.52
0.26875 0.524
0.269531 0.544
0.270313 0.54
0.271875 0.538
0.273438 0.532
0.274219 0.574
0.275 0.556
0.275781 0.594
0.276563 0.572
0.278125 0.58
0.28125 0.584
0.282813 0.586
0.283594 0.568
0.284375 0.618
0.2875 0.618
0.29375 0.622
0.295312 0.62
0.296094 0.658
0.296875 0.654
0.297656 0.62
0.298438 0.644
0.299219 0.64
0.3 0.696
0.300781 0.664
0.301562 0.668
0.302344 0.64
0.303125 0.644
0.303906 0.648
0.304688 0.692
0.305469 0.646
0.30625 0.67
0.307813 0.672
0.308594 0.64
0.309375 0.696
0.310937 0.688
0.311719 0.71
0.3125 0.71
0.313281 0.706
0.314063 0.682
0.315625 0.676
0.316406 0.7
0.317187 0.688
0.317969 0.718
0.31875 0.724
0.321875 0.722
0.322656 0.742
0.323437 0.71
0.324219 0.696
0.325 0.74
0.325781 0.732
0.326562 0.722
0.327344 0.734
0.328125 0.772
0.329687 0.766
0.330469 0.766
0.33125 0.782
0.3375 0.79
0.34375 0.786
0.345313 0.778
0.346094 0.812
0.346875 0.802
0.348437 0.804
0.349219 0.768
0.35 0.816
0.350781 0.804
0.351562 0.796
0.353125 0.804
0.353906 0.796
0.354687 0.794
0.355469 0.814
0.35625 0.838
0.3625 0.844
0.365625 0.85
0.366406 0.848
0.367188 0.828
0.36875 0.834
0.370313 0.836
0.371094 0.858
0.371875 0.882
0.372656 0.858
0.373437 0.854
0.375 0.86
0.38125 0.864
0.382031 0.874
0.382812 0.896
0.383594 0.848
0.384375 0.882
0.3875 0.888
0.390625 0.888
0.392188 0.886
0.392969 0.894
0.39375 0.906
0.396875 0.9
0.398438 0.906
0.399219 0.902
0.4 0.918
0.400781 0.886
0.401563 0.888
0.403125 0.894
0.40625 0.896
0.409375 0.9
0.410156 0.93
0.410938 0.912
0.411719 0.926
0.4125 0.938
0.425 0.934
0.4375 0.94
0.439063 0.942
0.439844 0.928
0.440625 0.956
0.44375 0.956
0.45 0.958
0.475 0.966
0.48125 0.97
0.484375 0.966
0.485938 0.96
0.486719 0.97
0.4875 0.98
0.5 0.982
0.5125 0.982
0.51875 0.984
0.521875 0.988
0.525 0.994
0.55 0.996
0.6 0.996
0.7 1
0.8 1
0.9 1
1 1
