# N=80 REP=500 dy=0.1
# p-connected p
0 80
0.00078125 77.614
0.0015625 75.058
0.00234375 72.708
0.003125 70.33
0.00390625 67.73
0.0046875 65.52
0.00546875 62.638
0.00625 60.126
0.00703125 57.34
0.0078125 55.208
0.00859375 53.012
0.009375 50.428
0.0101563 48.426
0.0109375 45.626
0.0117188 43.298
0.0125 41.024
0.0132813 38.19
0.0140625 36.844
0.0148437 34.46
0.015625 31.64
0.0164063 30.196
0.0171875 28.032
0.0179688 26.55
0.01875 24.39
0.0195313 22.844
0.0203125 21.37
0.0210938 19.942
0.021875 18.614
0.0226563 17.386
0.0234375 15.924
0.0242188 14.892
0.025 14.14
0.0257813 13.106
0.0265625 12.35
0.0273438 11.672
0.028125 11.034
0.0289063 9.878
0.0296875 9.366
0.0304687 8.93
0.03125 8.648
0.0320312 7.892
0.0328125 7.468
0.0335938 6.944
0.034375 6.562
0.0351562 6.268
0.0359375 5.786
0.0367188 5.592
0.0375 5.34
0.0382813 4.862
0.0390625 4.836
0.0398438 4.62
0.040625 4.282
0.0414063 3.968
0.0421875 3.724
0.0429688 3.672
0.04375 3.488
0.0445313 3.28
0.0453125 3.256
0.0460938 3.08
0.046875 2.86
0.0476562 2.682
0.0484375 2.562
0.0492188 2.562
0.05 2.406
0.0507812 2.294
0.0515625 2.268
0.0523438 2.206
0.053125 2.086
0.0546875 1.988
0.0554687 1.97
0.05625 1.836
0.0578125 1.752
0.0585938 1.726
0.059375 1.636
0.0609375 1.582
0.0625 1.522
0.0640625 1.456
0.065625 1.368
0.0671875 1.334
0.06875 1.242
0.071875 1.23
0.075 1.14
0.0875 1.046
0.1 1.022
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
