# N=25 REP=500 dy=0.1
# p-connected p
0 25
0.00078125 24.792
0.0015625 24.53
0.00234375 24.34
0.003125 24.046
0.00390625 23.828
0.0046875 23.634
0.00546875 23.336
0.00625 23.186
0.00703125 22.96
0.0078125 22.582
0.00859375 22.476
0.009375 22.122
0.0101563 21.916
0.0109375 21.776
0.0117188 21.618
0.0125 21.292
0.0132813 20.83
0.0140625 20.884
0.0148437 20.536
0.015625 20.328
0.0164063 20
0.0171875 19.75
0.0179688 19.528
0.01875 19.502
0.0195313 18.896
0.0203125 18.93
0.0210938 18.802
0.021875 18.584
0.0226563 18.116
0.0234375 17.9
0.0242188 17.854
0.025 17.522
0.0257813 17.104
0.0265625 17.064
0.0273438 17.088
0.028125 16.614
0.0289063 16.49
0.0296875 16.222
0.0304687 16.236
0.03125 15.602
0.0320312 15.772
0.0328125 15.47
0.0335938 15.006
0.034375 14.934
0.0351562 14.828
0.0359375 14.368
0.0367188 14.254
0.0375 13.944
0.0382813 13.806
0.0390625 13.792
0.0398438 13.266
0.040625 13.138
0.0414063 13.022
0.0421875 12.624
0.0429688 12.452
0.04375 12.524
0.0445313 11.976
0.0453125 11.848
0.0460938 11.554
0.046875 11.53
0.0476562 11.408
0.0484375 11.228
0.0492188 11.156
0.05 10.838
0.0507812 10.638
0.0515625 10.198
0.053125 10.198
0.0539063 9.96
0.0546875 9.502
0.0554687 9.618
0.05625 9.39
0.0570313 9.342
0.0578125 9.182
0.0585938 8.866
0.059375 8.74
0.0601562 8.608
0.0609375 8.524
0.0617188 8.138
0.0625 7.966
0.0632812 7.722
0.0640625 7.816
0.0648438 7.702
0.065625 7.592
0.0664062 7.374
0.0671875 7.258
0.0679688 6.954
0.06875 6.914
0.0695313 6.75
0.0703125 6.578
0.0710938 6.416
0.071875 6.208
0.0734375 6.178
0.0742188 5.868
0.075 6.034
0.0757813 5.766
0.0765625 5.698
0.0773438 5.622
0.078125 5.562
0.0789063 5.38
0.0796875 5.336
0.0804688 5.028
0.08125 5.142
0.0820313 4.892
0.0828125 4.768
0.084375 4.718
0.0851563 4.662
0.0859375 4.552
0.0867188 4.522
0.0875 4.306
0.0882813 4.184
0.0890625 4.204
0.090625 4.154
0.0914063 4.154
0.0921875 4.04
0.0929688 3.954
0.09375 3.934
0.0945312 3.82
0.0953125 3.5
0.096875 3.57
0.0984375 3.58
0.0992188 3.316
0.1 3.2
0.101562 3.268
0.102344 3.228
0.103125 3.078
0.104688 2.986
0.10625 2.97
0.107031 2.912
0.107813 2.846
0.109375 2.778
0.110937 2.694
0.1125 2.624
0.114063 2.594
0.114844 2.546
0.115625 2.486
0.116406 2.436
0.117188 2.3
0.11875 2.36
0.120312 2.262
0.121875 2.204
0.125 2.126
0.128125 2.088
0.129688 2.012
0.13125 1.974
0.134375 1.888
0.135938 1.81
0.1375 1.756
0.140625 1.724
0.142188 1.668
0.14375 1.616
0.15 1.524
0.1625 1.432
0.16875 1.35
0.175 1.276
0.18125 1.222
0.1875 1.162
0.2 1.128
0.25 1.032
0.3 1.006
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
