# N=25 REP=500 dy=0.01
# BRG
# esConnex p
0 0
0.05 0
0.0625 0.002
0.06875 0.002
0.0703125 0.004
0.0710938 0.008
0.071875 0.02
0.075 0.018
0.0757813 0.014
0.0765625 0.03
0.078125 0.03
0.08125 0.032
0.084375 0.032
0.0859375 0.04
0.0867188 0.044
0.0875 0.054
0.0882813 0.056
0.0890625 0.064
0.0898438 0.048
0.090625 0.096
0.09375 0.088
0.096875 0.086
0.0976562 0.102
0.0984375 0.102
0.0992188 0.126
0.1 0.134
0.100781 0.116
0.101562 0.152
0.103125 0.156
0.103906 0.148
0.104688 0.114
0.105469 0.166
0.10625 0.204
0.107031 0.174
0.107813 0.228
0.108594 0.198
0.109375 0.246
0.1125 0.248
0.114063 0.25
0.114844 0.212
0.115625 0.224
0.116406 0.22
0.117188 0.308
0.117969 0.296
0.11875 0.298
0.120312 0.3
0.121094 0.338
0.121875 0.326
0.122656 0.344
0.123438 0.368
0.124219 0.344
0.125 0.348
0.126562 0.342
0.127344 0.398
0.128125 0.364
0.128906 0.394
0.129688 0.404
0.130469 0.448
0.13125 0.422
0.132812 0.426
0.133594 0.434
0.134375 0.472
0.135938 0.47
0.136719 0.452
0.1375 0.498
0.139063 0.5
0.139844 0.502
0.140625 0.526
0.142188 0.524
0.142969 0.55
0.14375 0.514
0.144531 0.558
0.145313 0.528
0.146094 0.58
0.146875 0.612
0.148438 0.608
0.149219 0.608
0.15 0.566
0.150781 0.622
0.151563 0.598
0.152344 0.66
0.153125 0.62
0.153906 0.616
0.154688 0.642
0.155469 0.628
0.15625 0.66
0.157031 0.632
0.157813 0.638
0.159375 0.646
0.160156 0.646
0.160938 0.664
0.161719 0.696
0.1625 0.702
0.163281 0.7
0.164063 0.718
0.164844 0.698
0.165625 0.734
0.166406 0.738
0.167188 0.744
0.167969 0.76
0.16875 0.712
0.169531 0.75
0.170313 0.782
0.171094 0.756
0.171875 0.768
0.175 0.768
0.175781 0.782
0.176563 0.802
0.178125 0.796
0.178906 0.816
0.179688 0.816
0.18125 0.814
0.184375 0.812
0.185156 0.83
0.185938 0.84
0.186719 0.848
0.1875 0.856
0.19375 0.86
0.195312 0.862
0.196875 0.87
0.197656 0.89
0.198438 0.82
0.199219 0.876
0.2 0.898
0.200781 0.886
0.201563 0.88
0.202344 0.888
0.203125 0.908
0.204688 0.9
0.205469 0.912
0.20625 0.93
0.207031 0.916
0.207813 0.894
0.209375 0.886
0.210156 0.942
0.210938 0.908
0.211719 0.926
0.2125 0.918
0.213281 0.926
0.214063 0.93
0.215625 0.932
0.21875 0.942
0.221875 0.942
0.222656 0.93
0.223438 0.958
0.225 0.958
0.2375 0.952
0.238281 0.948
0.239062 0.97
0.240625 0.962
0.24375 0.962
0.244531 0.974
0.245312 0.976
0.246875 0.976
0.25 0.972
0.2625 0.98
0.26875 0.988
0.271875 0.988
0.273438 0.992
0.275 0.998
0.3 0.996
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
